,FAD,LAD
Cephalochordata,521,514
Tunicata,521,514
Myxinoidea,323.6,298.75
Petromyzontida,373.8,358.5
Heterostraci,434.2,426.9
Astraspis,459.3,441.9
Arandaspida,444.9,357.5
Jamoytius,444.9,432.6
Euphanerops,384.3,370.6
Osteostraci,434.2,426.9
Galeaspida,434.2,426.9
Loganellia,444.9,432.6
Turinia,422.4,408
Jawed_vertebrates,427.9,420.7
Euconodonta,497,483.5
Birkenia,444.9,432.6
Pharyngolepis,434.2,426.9
Rhyncholepis,434.2,426.9
Pterygolepis,433.4,427.4
Cowielepis,430.5,425.6
Lasanius,434.2,426.9
