Cephalochordata,49
Tunicata,53
Myxinoidea,28
Petromyzontida,25
Heterostraci,46
Astraspis,70
Arandaspida,61
Jamoytius,87
Euphanerops,86
Osteostraci,25
Galeaspida,49
Loganellia,63
Turinia,72
Jawed_vertebrates,6
Euconodonta,95
Birkenia,59
Pharyngolepis,64
Rhyncholepis,54
Pterygolepis,64
Cowielepis,73
Lasanius,84
